ACCESSIBLE,ADULT_BASEBALL,ADULT_FOOTBALL,ADULT_SOFTBALL,BASKETBALL,BOCCE,BOROUGH,COMMUNITYBOARD,COUNCILDISTRICT,CRICKET,DEPARTMENT,DIMENSIONS,FEATURESTATUS,FIELD_LIGHTED,FIELD_NUMBER,FLAGFOOTBALL,FRISBEE,GISPROPNUM,HANDBALL,HOCKEY,KICKBALL,LACROSSE,LL_BASEB_12ANDUNDER,LL_BASEB_13ANDOLDER,LL_SOFTBALL,MAINTENANCEAGREEMENT,NETBALL,NONREGULATION_SOCCER,PRECINCT,PRIMARY_SPORT,Pickleball,REGULATION_SOCCER,RUGBY,STArea,STLength,SURFACE_TYPE,SYSTEM,TENNIS,TRACK_AND_FIELD,T_BALL,VOLLEYBALL,WHEELCHAIRFOOTBALL,YOUTH_FOOTBALL,ZIPCODE,multipolygon
false,false,false,false,false,false,X,201,17,false,X-01,Handball,Active,false,02,false,false,X106,true,false,false,false,false,false,false,false,false,false,40,HDB,false,false,false,1211.9031066894531,143.62304738718476,Concrete,X106-HANDBALL-2,false,false,false,false,false,false,10451,"MULTIPOLYGON (((-73.9281950667044 40.81766517023807, -73.92824670326432 40.81754887349109, -73.92815264497366 40.81752528673631, -73.92810312477738 40.81764200169147, -73.9281950667044 40.81766517023807)))"
false,false,false,false,false,false,X,201,17,false,X-01,Handball,Active,false,03,false,false,X233,true,false,false,false,false,false,false,false,false,false,40,HDB,false,false,false,1257.289566040039,142.23517014239027,Asphalt,X233-HANDBALL-4,false,false,false,false,false,false,10455,"MULTIPOLYGON (((-73.90535795319724 40.81393609091835, -73.9054722160319 40.81395899246051, -73.90550936082391 40.81385850215393, -73.90539416364123 40.8138343112692, -73.90535795319724 40.81393609091835)))"
false,false,false,false,false,false,X,201,17,false,X-01,Handball,Active,false,02,false,false,X233,true,false,false,false,false,false,false,false,false,false,40,HDB,false,false,false,1193.5996856689453,138.95147390434911,Asphalt,X233-HANDBALL-3,false,false,false,false,false,false,10455,"MULTIPOLYGON (((-73.90524975101016 40.81391372463677, -73.90535795319724 40.81393609091835, -73.90539416364123 40.8138343112692, -73.90528532488399 40.81381212009521, -73.90524975101016 40.81391372463677)))"
false,false,false,false,false,false,Q,404,21,false,Q-04,Handball,Active,false,02,false,false,Q450,true,false,false,false,false,false,false,false,false,false,110,HDB,false,false,false,1535.573226928711,157.4612477372155,Concrete,Q450-HANDBALL-2,false,false,false,false,false,false,11368,"MULTIPOLYGON (((-73.85456548771273 40.74759467500053, -73.8545099987482 40.74748469707879, -73.85438991280498 40.747520259458, -73.85444644184129 40.74763103209869, -73.85456548771273 40.74759467500053)))"
false,false,false,false,false,false,R,501,49,false,R-01,Handball,Active,false,01,false,false,R076,true,false,false,false,false,false,false,false,false,false,120,HDB,false,false,false,1103.2825317382812,135.63653182496387,Asphalt,R076-HANDBALL-2,false,false,false,false,false,false,10302,"MULTIPOLYGON (((-74.1456243714567 40.62436911520679, -74.145633894386 40.62425778250297, -74.14553613755731 40.62425274630891, -74.14552737667269 40.624364573326574, -74.1456243714567 40.62436911520679)))"
false,false,false,false,false,false,R,502,50,false,R-02,Handball,Active,false,04,false,false,R063,true,false,false,false,false,false,false,false,false,false,122,HDB,false,false,false,753.3248748779297,115.04060894718074,Asphalt,R063-HANDBALL-4,false,false,false,false,false,false,10305,"MULTIPOLYGON (((-74.08155236273385 40.59502773493671, -74.08152080097062 40.594977873754445, -74.08139935054172 40.595021555971634, -74.08143054499102 40.595071547122586, -74.08155236273385 40.59502773493671)))"
false,false,false,false,false,false,R,502,50,false,R-02,Handball,Active,false,02,false,false,R063,true,false,false,false,false,false,false,false,false,false,122,HDB,false,false,false,702.4548797607422,110.66963907181966,Concrete,R063-HANDBALL-3,false,false,false,false,false,false,10305,"MULTIPOLYGON (((-74.08131439583805 40.5951129336615, -74.08134447746707 40.59516198907884, -74.08146062550539 40.59512060251056, -74.08143054499102 40.595071547122586, -74.08131439583805 40.5951129336615)))"
false,false,false,false,false,false,X,204,14,false,X-04,Handball,Active,false,05,false,false,X148C7,true,false,false,false,false,false,false,false,false,false,44,HDB,false,false,false,903.5026702880859,121.4781192049274,Concrete,X148C7-HANDBALL-6,false,false,false,false,false,false,10452,"MULTIPOLYGON (((-73.91394633094211 40.84479227795768, -73.91402935798814 40.84482606512853, -73.91408950294651 40.84474225333632, -73.91400636277034 40.84470889475853, -73.91394633094211 40.84479227795768)))"
false,false,false,false,false,false,B,303,36,false,B-03,Handball,Active,false,01,false,false,B317,true,false,false,false,false,false,false,false,false,false,79,HDB,false,false,false,1594.5581665039062,160.89185175192864,Asphalt,B317-HANDBALL-2,false,false,false,false,false,false,11205,"MULTIPOLYGON (((-73.95730024535744 40.689943364227254, -73.95732557657387 40.690065368866364, -73.9574513676597 40.69005123145855, -73.95742693911386 40.68992885526892, -73.95730024535744 40.689943364227254)))"
false,false,false,false,false,false,B,303,35,false,B-03,Handball,Active,false,02,false,false,B266,true,false,false,false,false,false,false,false,false,false,79,HDB,false,false,false,1293.8834228515625,146.6085820364479,Asphalt,B266-HANDBALL-2,false,false,false,false,false,false,11205,"MULTIPOLYGON (((-73.95802841935016 40.691417449020896, -73.9578726209955 40.691435208747414, -73.95788822215228 40.69151562938246, -73.95804402069182 40.69149786783396, -73.95802841935016 40.691417449020896)))"
